160.92.7.69 - - [23/Jan/2013:18:40:32 +0000] "GET /?q=1,0000000000000000000000000000000000000000000000001*1,0000000000000000000000000000000000000000000000001=1.00000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000001 HTTP/1.1" 200 62 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17"

88.190.22.96 - - [23/Jan/2013:18:32:52 +0000] "GET /?q=Quelle+est+ton+adresse+email HTTP/1.1" 200 33 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:53 +0000] "GET /?q=Es+tu+heureux+de+participer(OUI/NON) HTTP/1.1" 200 13 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:53 +0000] "GET /?q=Es+tu+abonne+a+la+mailing+list(OUI/NON) HTTP/1.1" 200 13 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:53 +0000] "GET /?q=Es+tu+pret+a+recevoir+une+enonce+au+format+markdown+par+http+post(OUI/NON) HTTP/1.1" 200 13 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:53 +0000] "GET /?q=Est+ce+que+tu+reponds+toujours+oui(OUI/NON) HTTP/1.1" 200 13 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:54 +0000] "POST /enonce/1 HTTP/1.1" 201 49 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:54 +0000] "GET /?q=As+tu+bien+recu+le+premier+enonce(OUI/NON) HTTP/1.1" 200 13 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:32:54 +0000] "GET /scalaskel/change/1 HTTP/1.1" 200 21 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:06 +0000] "GET /scalaskel/change/2 HTTP/1.1" 200 21 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:07 +0000] "GET /scalaskel/change/7 HTTP/1.1" 200 32 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:07 +0000] "GET /scalaskel/change/8 HTTP/1.1" 200 40 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:08 +0000] "GET /scalaskel/change/11 HTTP/1.1" 200 51 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:08 +0000] "GET /scalaskel/change/19 HTTP/1.1" 200 104 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:09 +0000] "GET /scalaskel/change/21 HTTP/1.1" 200 125 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:09 +0000] "GET /scalaskel/change/28 HTTP/1.1" 200 215 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:09 +0000] "GET /scalaskel/change/42 HTTP/1.1" 200 531 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:10 +0000] "GET /scalaskel/change/97 HTTP/1.1" 200 4509 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:10 +0000] "GET /scalaskel/change/1 HTTP/1.1" 200 21 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
88.190.22.96 - - [23/Jan/2013:18:33:11 +0000] "GET /scalaskel/change/2 HTTP/1.1" 200 21 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
